step,wallclock_sec,split,loss,tokens_per_sec
4260,2261.551866,train,1.496491,64409.148864
4280,2271.727002,train,1.542531,64407.982251
4300,2281.901791,train,1.535824,64410.182703
4320,2292.076470,train,1.533428,64410.878488
4340,2302.252057,train,1.561435,64405.127019
4360,2312.428045,train,1.502865,64402.593439
4380,2322.602174,train,1.594891,64414.356127
4400,2332.777288,train,1.520897,64408.127132
4400,2336.149428,val,1.526600,
4420,2346.922865,train,1.514844,46329.673862
4440,2357.097346,train,1.516886,64412.132749
4460,2367.272119,train,1.543136,64410.282316
4480,2377.447459,train,1.545227,64406.694951
4500,2387.620914,train,1.564742,64418.622182
4520,2397.795291,train,1.422147,64412.793860
4540,2407.970641,train,1.583556,64406.627041
4560,2418.144783,train,1.474888,64414.279144
4580,2428.320329,train,1.555732,64405.389593
4600,2438.497080,train,1.582849,64397.759215
4600,2441.869099,val,1.532418,
4620,2452.652830,train,1.531558,46296.381990
4640,2462.827451,train,1.550386,64411.246762
4660,2473.003216,train,1.571252,64403.999785
4680,2483.178912,train,1.553446,64404.438904
4700,2493.354198,train,1.535454,64407.037522
4720,2503.529956,train,1.486588,64404.049582
4740,2513.706186,train,1.576123,64401.057392
4760,2523.884166,train,1.539371,64389.990369
4780,2534.061219,train,1.543332,64395.849262
4800,2544.239272,train,1.530614,64389.524297
4800,2547.612278,val,1.537505,
4820,2558.396707,train,1.524479,46290.871387
4840,2568.572030,train,1.469720,64406.803607
4860,2578.746342,train,1.575773,64413.198382
4880,2588.921711,train,1.524893,64406.510839
4900,2599.098075,train,1.549552,64400.212447
4920,2609.275115,train,1.559484,64395.930727
4940,2619.452446,train,1.511849,64394.091784
4960,2629.627477,train,1.498718,64408.652332
4980,2639.802355,train,1.544359,64409.619747
5000,2649.978923,train,1.518691,64398.917914
5000,2653.352259,val,1.520549,
5020,2664.135243,train,1.493406,46294.516908
5040,2674.313476,train,1.479686,64388.387052
5060,2684.489497,train,1.507930,64402.380681
5080,2694.665583,train,1.566293,64401.971769
5100,2704.841179,train,1.519198,64405.072693
5120,2715.015305,train,1.552992,64414.378769
5140,2725.190897,train,1.551644,64405.099856
5160,2735.364778,train,1.495375,64415.932056
5180,2745.540550,train,1.536929,64403.954515
5200,2755.718389,train,1.547147,64390.878788
5200,2759.092186,val,1.522715,
5220,2769.874824,train,1.482958,46294.143442
5240,2780.050370,train,1.506581,64405.386575
5260,2790.226782,train,1.533002,64399.906160
5280,2800.403343,train,1.498199,64398.967703
5300,2810.579570,train,1.508201,64401.081534
5320,2820.754760,train,1.540638,64407.639670
5340,2830.931908,train,1.565148,64395.253368
5360,2841.109817,train,1.465515,64390.432313
5380,2851.287227,train,1.548455,64393.592466
5400,2861.465159,train,1.548309,64390.292036
5400,2864.837930,val,1.517327,
5420,2875.618984,train,1.484539,46302.680092
5440,2885.794014,train,1.533690,64408.653841
5460,2895.967777,train,1.525904,64416.674762
5480,2906.142746,train,1.471070,64409.040200
5500,2916.317582,train,1.490973,64409.886886
5520,2926.491511,train,1.484463,64415.621091
5540,2936.666794,train,1.489519,64407.057140
5560,2946.842811,train,1.530267,64402.409351
5580,2957.015825,train,1.507275,64421.416709
5600,2967.190606,train,1.535537,64410.234019
5600,2970.563066,val,1.499818,
5620,2981.345809,train,1.522677,46298.168462
5640,2991.520709,train,1.493521,64409.480897
5660,3001.697630,train,1.464518,64396.688058
5680,3011.871864,train,1.566554,64413.694984
5700,3022.046389,train,1.519151,64411.848989
5720,3032.221110,train,1.511445,64410.611341
5740,3042.396561,train,1.562865,64405.990202
5760,3052.572174,train,1.514145,64404.964043
5780,3062.746968,train,1.547889,64410.151008
5800,3072.920091,train,1.493502,64420.728245
5800,3076.291152,val,1.504348,
5820,3087.029753,train,1.505305,46447.605086
5840,3097.204820,train,1.472161,64408.422933
5860,3107.377201,train,1.529427,64425.423979
5880,3117.550742,train,1.528455,64418.081723
5900,3127.725147,train,1.526484,64412.612732
5920,3137.898838,train,1.526209,64417.135188
5940,3148.073645,train,1.456110,64410.066489
5960,3158.248255,train,1.513830,64411.310154
5980,3168.421705,train,1.494466,64418.661433
6000,3178.597501,train,1.476969,64403.806635
6000,3181.969252,val,1.501813,
6020,3192.746356,train,1.521099,46318.942511
6040,3202.920695,train,1.517772,64413.032346
6060,3213.094890,train,1.492753,64413.941025
6080,3223.267580,train,1.503178,64423.471618
6100,3233.441742,train,1.509181,64414.146311
6120,3243.615495,train,1.473301,64416.738164
6140,3253.788283,train,1.455884,64422.852565
6160,3263.961562,train,1.506680,64419.743889
6180,3274.136156,train,1.497537,64411.411279
6200,3284.312282,train,1.497901,64401.722802
6200,3287.684882,val,1.500922,
6220,3298.465916,train,1.491534,46303.301728
6240,3308.640074,train,1.531951,64414.174991
6260,3318.814405,train,1.467553,64413.079138
6280,3328.989114,train,1.476550,64410.688315
6300,3339.163392,train,1.464778,64413.415739
6320,3349.336954,train,1.511595,64417.947365
6340,3359.510720,train,1.481681,64416.662685
6360,3369.684731,train,1.470010,64415.104835
6380,3379.858371,train,1.479776,64417.455225
6400,3390.032839,train,1.475965,64412.214255
6400,3393.405080,val,1.504045,
6420,3404.183870,train,1.472028,46311.819129
6440,3414.357904,train,1.501592,64414.959922
6460,3424.532820,train,1.468346,64409.378268
6480,3434.707257,train,1.510728,64412.405946
6500,3444.881786,train,1.559277,64411.827858
6520,3455.055807,train,1.505218,64415.044454
6540,3465.230169,train,1.495085,64412.884424
6560,3475.403687,train,1.499254,64418.229669
6580,3485.580653,train,1.513756,64396.396891
6600,3495.755877,train,1.491954,64407.426880
6600,3499.127100,val,1.498366,
6620,3509.905421,train,1.549263,46316.689294
6640,3520.078122,train,1.460911,64423.402163
6660,3530.251238,train,1.506334,64420.772029
6680,3540.425894,train,1.454947,64411.021873
6700,3550.600476,train,1.509699,64411.492783
6720,3560.774195,train,1.495662,64416.955545
6740,3570.948891,train,1.474612,64410.766799
6760,3581.124725,train,1.491729,64403.569726
6780,3591.300992,train,1.451524,64400.822013
6800,3601.476572,train,1.433946,64405.173799
6800,3604.848094,val,1.489699,
6820,3615.627816,train,1.516223,46311.122360
6840,3625.802639,train,1.477897,64409.965368
6860,3635.978350,train,1.562212,64404.349872
6880,3646.154143,train,1.503863,64403.826252
6900,3656.329441,train,1.442433,64406.956029
6920,3666.505695,train,1.452984,64400.906508
6940,3676.683210,train,1.454982,64392.931750
6960,3686.859684,train,1.467742,64399.516893
6980,3697.037962,train,1.479921,64388.100484
7000,3707.214190,train,1.472013,64401.070972
7000,3710.586495,val,1.482407,
7020,3721.371874,train,1.449775,46290.058318
7040,3731.548451,train,1.453726,64398.862090
7060,3741.725441,train,1.457509,64396.249045
7080,3751.902552,train,1.474919,64395.490216
7100,3762.080216,train,1.487257,64391.982937
7120,3772.258301,train,1.491344,64389.326709
7140,3782.436117,train,1.496603,64391.020576
7160,3792.617460,train,1.527024,64368.722376
7180,3802.797801,train,1.452286,64375.052300
7200,3812.976993,train,1.457442,64382.316891
7200,3816.350936,val,1.488795,
7220,3827.132695,train,1.487424,46296.540280
7240,3837.309768,train,1.464054,64395.722540
7260,3847.488209,train,1.488164,64387.073387
7280,3857.666291,train,1.535094,64389.340284
7300,3867.842969,train,1.530986,64398.223896
7320,3878.020567,train,1.499785,64392.405298
7340,3888.199490,train,1.448661,64384.020945
7360,3898.378700,train,1.486812,64382.205301
7380,3908.558102,train,1.477918,64380.995934
7400,3918.739588,train,1.500523,64367.811958
7400,3922.114440,val,1.480203,
7420,3932.901236,train,1.485978,46277.101397
7440,3943.080217,train,1.492839,64383.654490
7460,3953.260388,train,1.477619,64376.127260
7480,3963.439848,train,1.474576,64380.621975
7500,3973.619827,train,1.478379,64377.345490
7520,3983.799817,train,1.544172,64377.273119
7540,3993.981817,train,1.486810,64364.563906
7560,4004.162306,train,1.466241,64374.117582
7580,4014.342120,train,1.471431,64378.385847
7600,4024.522363,train,1.433435,64375.674958
7600,4027.895370,val,1.478710,
7620,4038.682458,train,1.452274,46282.175444
7640,4048.863916,train,1.476406,64367.989819
7660,4059.046095,train,1.453818,64363.436584
7680,4069.226369,train,1.512269,64375.474440
7700,4079.409533,train,1.439604,64357.208392
7720,4089.593537,train,1.454813,64351.903399
7740,4099.776533,train,1.464290,64358.266181
7760,4109.960080,train,1.431753,64354.790075
7780,4120.143976,train,1.455966,64352.576833
7800,4130.327489,train,1.485619,64355.005531
7800,4133.702586,val,1.483629,
7820,4144.494757,train,1.512707,46258.741433
7840,4154.680327,train,1.479913,64342.003889
7860,4164.868531,train,1.480161,64325.373486
7880,4175.054912,train,1.431950,64336.883610
7900,4185.240809,train,1.464075,64339.937608
7920,4195.427585,train,1.440897,64334.390027
7940,4205.616259,train,1.493939,64322.400644
7960,4215.802980,train,1.492971,64334.739358
7980,4225.990541,train,1.455116,64329.426025
8000,4236.177818,train,1.497219,64331.228154
8000,4239.554908,val,1.489220,
8020,4250.349725,train,1.461746,46243.598716
8040,4260.539824,train,1.491954,64313.413043
8060,4270.728303,train,1.521197,64323.628884
8080,4280.917508,train,1.409229,64319.053327
8100,4291.106480,train,1.509856,64320.522251
8120,4301.297284,train,1.457346,64308.962312
8140,4311.488406,train,1.538651,64306.950808
8160,4321.680328,train,1.508394,64301.906803
8180,4331.870790,train,1.439623,64311.116883
8200,4342.061567,train,1.444310,64309.127812
